python train.py --epochs 300
--- Training miap_max_ranking_L3_H129 on cuda ---
Loading dataset_train into memory...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4427/4427 [00:06<00:00, 642.59it/s]
Loading dataset_val into memory...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 886/886 [00:01<00:00, 832.15it/s]
/home/schterben/miniconda3/envs/miap_gasse/lib/python3.10/site-packages/torch_geometric/utils/_scatter.py:91: UserWarning: The usage of `scatter(reduce='max')` can be accelerated via the 'torch-scatter' package, but it was not found
  warnings.warn(
Ep 59 | T_Loss: 0.0631 T_Acc@1: 0.1270 T_Acc@5: 0.5239 | V_Loss: 0.0630 V_Acc@1: 0.1318 V_Acc@5: 0.5073 | LR: 1.0e-03
Ep 60 | T_Loss: 0.0632 T_Acc@1: 0.1306 T_Acc@5: 0.5239 | V_Loss: 0.0629 V_Acc@1: 0.1345 V_Acc@5: 0.5241 | LR: 1.0e-03
Ep 61 | T_Loss: 0.0626 T_Acc@1: 0.1348 T_Acc@5: 0.5226 | V_Loss: 0.0636 V_Acc@1: 0.1465 V_Acc@5: 0.5103 | LR: 1.0e-03
Ep 62 | T_Loss: 0.0626 T_Acc@1: 0.1335 T_Acc@5: 0.5225 | V_Loss: 0.0658 V_Acc@1: 0.1264 V_Acc@5: 0.4844 | LR: 1.0e-03
Ep 63 | T_Loss: 0.0623 T_Acc@1: 0.1372 T_Acc@5: 0.5264 | V_Loss: 0.0639 V_Acc@1: 0.1327 V_Acc@5: 0.5125 | LR: 1.0e-03
Ep 64 | T_Loss: 0.0623 T_Acc@1: 0.1368 T_Acc@5: 0.5286 | V_Loss: 0.0634 V_Acc@1: 0.1242 V_Acc@5: 0.4957 | LR: 1.0e-03
Ep 65 | T_Loss: 0.0620 T_Acc@1: 0.1368 T_Acc@5: 0.5315 | V_Loss: 0.0631 V_Acc@1: 0.1244 V_Acc@5: 0.5229 | LR: 1.0e-03
Ep 66 | T_Loss: 0.0616 T_Acc@1: 0.1488 T_Acc@5: 0.5345 | V_Loss: 0.0628 V_Acc@1: 0.1378 V_Acc@5: 0.5239 | LR: 1.0e-03
Ep 67 | T_Loss: 0.0616 T_Acc@1: 0.1357 T_Acc@5: 0.5304 | V_Loss: 0.0640 V_Acc@1: 0.1380 V_Acc@5: 0.5142 | LR: 1.0e-03
Ep 68 | T_Loss: 0.0613 T_Acc@1: 0.1434 T_Acc@5: 0.5299 | V_Loss: 0.0635 V_Acc@1: 0.1333 V_Acc@5: 0.5112 | LR: 1.0e-03
Ep 69 | T_Loss: 0.0611 T_Acc@1: 0.1399 T_Acc@5: 0.5379 | V_Loss: 0.0629 V_Acc@1: 0.1326 V_Acc@5: 0.5234 | LR: 1.0e-03
Ep 70 | T_Loss: 0.0608 T_Acc@1: 0.1470 T_Acc@5: 0.5386 | V_Loss: 0.0627 V_Acc@1: 0.1229 V_Acc@5: 0.5207 | LR: 1.0e-03
Ep 71 | T_Loss: 0.0610 T_Acc@1: 0.1411 T_Acc@5: 0.5411 | V_Loss: 0.0626 V_Acc@1: 0.1384 V_Acc@5: 0.5225 | LR: 1.0e-03
Ep 72 | T_Loss: 0.0610 T_Acc@1: 0.1508 T_Acc@5: 0.5373 | V_Loss: 0.0642 V_Acc@1: 0.1255 V_Acc@5: 0.5029 | LR: 1.0e-03
